id,title,description,category,price,discountPercentage,rating,stock,brand,sku,weight,warrantyInformation,shippingInformation,availabilityStatus
12,Annibale Colombo Sofa,"The Annibale Colombo Sofa is a sophisticated and comfortable seating option, featuring exquisite design and premium upholstery for your living room.",furniture,2499.99,14.4,3.92,60,Annibale Colombo,FUR-ANN-ANN-012,6,Lifetime warranty,Ships in 1 week,In Stock
13,Bedside Table African Cherry,"The Bedside Table in African Cherry is a stylish and functional addition to your bedroom, providing convenient storage space and a touch of elegance.",furniture,299.99,19.09,2.87,64,Furniture Co.,FUR-FUR-BED-013,2,5 year warranty,Ships overnight,In Stock
14,Knoll Saarinen Executive Conference Chair,"The Knoll Saarinen Executive Conference Chair is a modern and ergonomic chair, perfect for your office or conference room with its timeless design.",furniture,499.99,2.01,4.88,26,Knoll,FUR-KNO-KNO-014,10,2 year warranty,Ships overnight,In Stock
15,Wooden Bathroom Sink With Mirror,"The Wooden Bathroom Sink with Mirror is a unique and stylish addition to your bathroom, featuring a wooden sink countertop and a matching mirror.",furniture,799.99,8.8,3.59,7,Bath Trends,FUR-BAT-WOO-015,10,3 year warranty,Ships in 3-5 business days,Low Stock
16,Apple,"Fresh and crisp apples, perfect for snacking or incorporating into various recipes.",groceries,1.99,12.62,4.19,8,,GRO-BRD-APP-016,9,3 year warranty,Ships in 2 weeks,In Stock
17,Beef Steak,"High-quality beef steak, great for grilling or cooking to your preferred level of doneness.",groceries,12.99,9.61,4.47,86,,GRO-BRD-BEE-017,10,3 year warranty,Ships overnight,In Stock
18,Cat Food,Nutritious cat food formulated to meet the dietary needs of your feline friend.,groceries,8.99,9.58,3.13,46,,GRO-BRD-FOO-018,10,1 year warranty,Ships overnight,In Stock
19,Chicken Meat,"Fresh and tender chicken meat, suitable for various culinary preparations.",groceries,9.99,13.7,3.19,97,,GRO-BRD-CHI-019,1,1 year warranty,Ships in 1 month,In Stock
20,Cooking Oil,"Versatile cooking oil suitable for frying, sautéing, and various culinary applications.",groceries,4.99,9.33,4.8,10,,GRO-BRD-COO-020,5,Lifetime warranty,Ships in 1-2 business days,In Stock
21,Cucumber,"Crisp and hydrating cucumbers, ideal for salads, snacks, or as a refreshing side.",groceries,1.49,0.16,4.07,84,,GRO-BRD-CUC-021,4,2 year warranty,Ships in 1-2 business days,In Stock
22,Dog Food,Specially formulated dog food designed to provide essential nutrients for your canine companion.,groceries,10.99,10.27,4.55,71,,GRO-BRD-FOO-022,10,No warranty,Ships in 1-2 business days,In Stock
23,Eggs,"Fresh eggs, a versatile ingredient for baking, cooking, or breakfast.",groceries,2.99,11.05,2.53,9,,GRO-BRD-EGG-023,2,1 week warranty,Ships in 1 week,In Stock
24,Fish Steak,"Quality fish steak, suitable for grilling, baking, or pan-searing.",groceries,14.99,4.23,3.78,74,,GRO-BRD-FIS-024,6,1 month warranty,Ships in 3-5 business days,In Stock
25,Green Bell Pepper,"Fresh and vibrant green bell pepper, perfect for adding color and flavor to your dishes.",groceries,1.29,0.16,3.25,33,,GRO-BRD-GRE-025,2,1 month warranty,Ships in 1 week,In Stock
26,Green Chili Pepper,"Spicy green chili pepper, ideal for adding heat to your favorite recipes.",groceries,0.99,1.0,3.66,3,,GRO-BRD-GRE-026,7,2 year warranty,Ships in 1 week,Low Stock
27,Honey Jar,"Pure and natural honey in a convenient jar, perfect for sweetening beverages or drizzling over food.",groceries,6.99,14.4,3.97,34,,GRO-BRD-HON-027,2,1 month warranty,Ships in 1-2 business days,In Stock
28,Ice Cream,"Creamy and delicious ice cream, available in various flavors for a delightful treat.",groceries,5.49,8.69,3.39,27,,GRO-BRD-CRE-028,1,1 month warranty,Ships in 2 weeks,In Stock
29,Juice,"Refreshing fruit juice, packed with vitamins and great for staying hydrated.",groceries,3.99,12.06,3.94,50,,GRO-BRD-JUI-029,1,6 months warranty,Ships in 1 week,In Stock
30,Kiwi,"Nutrient-rich kiwi, perfect for snacking or adding a tropical twist to your dishes.",groceries,2.49,15.22,4.93,99,,GRO-BRD-KIW-030,5,6 months warranty,Ships overnight,In Stock
